"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
4.22,4.22,1,1,1,0,0,-0.478808903999394,7053.65645417915,
4.24,4.24,1,1,1,0,0,-0.478716814824304,7078.98425543872,
4.26,4.26,1,1,1,0,0,-0.478624725649213,7104.30669228035,
4.28,4.28,1,1,1,0,0,-0.478532666276445,7129.62853307555,
4.3,4.3,1,1,1,0,0,-0.478440577101355,7153.41317010899,
4.32,4.32,1,1,1,0,0,-0.478348487926264,7176.51533397173,
4.34,4.34,1,1,1,0,0,-0.478256428553496,7199.61213341654,
4.36,4.36,1,1,1,0,0,-0.478164339378406,7223.83069225632,
4.38,4.38,1,1,1,0,0,-0.478072250203316,7248.84258890413,
4.4,4.4,1,1,1,0,0,-0.477980161028225,7273.95760158559,
4.42,4.42,1,1,1,0,0,-0.477888101655457,7299.34143121026,
4.44,4.44,1,1,1,0,0,-0.477796012480367,7324.74016199587,
4.46,4.46,1,1,1,0,0,-0.477703923305276,7350.13948882791,
4.48,4.48,1,1,1,0,0,-0.477611834130186,7375.53821961352,
4.5,4.5,1,1,1,0,0,-0.477519774757418,7400.93754644556,
4.52,4.52,1,1,1,0,0,-0.477427685582327,7426.33627723117,
4.54,4.54,1,1,1,0,0,-0.477335596407237,7450.49821165941,
4.56,4.56,1,1,1,0,0,-0.477243537034469,7473.97886500983,
4.58,4.58,1,1,1,0,0,-0.477151447859379,7498.83340539819,
4.6,4.6,1,1,1,0,0,-0.477059358684288,7525.76337948119,
4.62,4.62,1,1,1,0,0,-0.476967269509198,7552.6969298428,
4.64,4.64,1,1,1,0,0,-0.47687521013643,7579.07138864625,
4.66,4.66,1,1,1,0,0,-0.476783120961339,7604.18222900264,
4.68,4.68,1,1,1,0,0,-0.476691031786249,7628.74530268318,
4.7,4.7,1,1,1,0,0,-0.476598942611159,7652.48464018738,
4.72,4.72,1,1,1,0,0,-0.47650688323839,7676.11847747218,
4.74,4.74,1,1,1,0,0,-0.4764147940633,7699.75291080343,
4.76,4.76,1,1,1,0,0,-0.476320648527989,7723.38674808823,
4.78,4.78,1,1,1,0,0,-0.476216698028729,7747.02118141947,
4.8,4.8,1,1,1,0,0,-0.476109290460112,7770.65501870427,
4.82,4.82,1,1,1,0,0,-0.476001853089173,7794.28945203552,
4.84,4.84,1,1,1,0,0,-0.475894415718235,7817.92328932032,
4.86,4.86,1,1,1,0,0,-0.475787008149618,7841.55772265156,
4.88,4.88,1,1,1,0,0,-0.475679570778679,7865.19155993637,
4.9,4.9,1,1,1,0,0,-0.475572133407741,7888.82599326761,
4.92,4.92,1,1,1,0,0,-0.475464696036802,7912.19578198069,
4.94,4.94,1,1,1,0,0,-0.475357288468185,7934.34188735803,
4.96,4.96,1,1,1,0,0,-0.475249851097247,7956.44150111327,
4.98,4.98,1,1,1,0,0,-0.475142413726308,7978.77655321123,
5,5,1,1,1,0,0,-0.475035006157691,8001.41320480645,
5.02,5.02,1,1,1,0,0,-0.474927568786753,8024.34191915595,
5.04,5.04,1,1,1,0,0,-0.474820131415814,8047.7462785624,
5.06,5.06,1,1,1,0,0,-0.474712723847197,8071.15004192241,
5.08,5.08,1,1,1,0,0,-0.474605286476259,8094.55380528242,
5.1,5.1,1,1,1,0,0,-0.47449784910532,8117.6565651916,
5.12,5.12,1,1,1,0,0,-0.474390441536703,8140.19784935686,
5.14,5.14,1,1,1,0,0,-0.474283004165765,8162.53290145482,
5.16,5.16,1,1,1,0,0,-0.474175566794826,8184.86258913485,
5.18,5.18,1,1,1,0,0,-0.474068159226209,8207.19227681487,
5.2,5.2,1,1,1,0,0,-0.47396072185527,8229.52196449489,
5.22,5.22,1,1,1,0,0,-0.473853284484332,8251.84867194273,
5.24,5.24,1,1,1,0,0,-0.473745876915715,8273.45475924789,
5.26,5.26,1,1,1,0,0,-0.473638439544776,8294.67520450812,
5.28,5.28,1,1,1,0,0,-0.473531002173838,8315.71683583717,
5.3,5.3,1,1,1,0,0,-0.473423564802899,8336.74177786598,
5.32,5.32,1,1,1,0,0,-0.473316157234282,8357.76671989479,
5.34,5.34,1,1,1,0,0,-0.473208719863344,8378.79225797003,
5.36,5.36,1,1,1,0,0,-0.473101282492405,8399.53825026619,
5.38,5.38,1,1,1,0,0,-0.472993874923788,8419.72038263267,
5.4,5.4,1,1,1,0,0,-0.47288673557607,8439.90191895272,
5.42,5.42,1,1,1,0,0,-0.472787732262267,8459.95530528875,
5.44,5.44,1,1,1,0,0,-0.472691798587634,8479.82987769359,
5.46,5.46,1,1,1,0,0,-0.472595894715324,8499.35933921125,
5.48,5.48,1,1,1,0,0,-0.472499961040691,8518.54249774884,
5.5,5.5,1,1,1,0,0,-0.472407067202905,8537.72625233288,
5.52,5.52,1,1,1,0,0,-0.472315007830137,8556.91000691691,
5.54,5.54,1,1,1,0,0,-0.472222918655047,8576.12415986924,
5.56,5.56,1,1,1,0,0,-0.472130829479956,8595.83303136452,
5.58,5.58,1,1,1,0,0,-0.472038770107188,8615.80714352439,
5.6,5.6,1,1,1,0,0,-0.471946680932098,8636.34749979968,
5.62,5.62,1,1,1,0,0,-0.471854591757008,8656.98918396932,
5.64,5.64,1,1,1,0,0,-0.471762502581917,8677.63027209251,
5.66,5.66,1,1,1,0,0,-0.471670443209149,8698.27195626214,
5.68,5.68,1,1,1,0,0,-0.471578354034059,8718.09765285913,
5.7,5.7,1,1,1,0,0,-0.471486264858968,8736.44157801302,
5.72,5.72,1,1,1,0,0,-0.471394175683878,8754.24429300187,
5.74,5.74,1,1,1,0,0,-0.47130211631111,8772.04641194427,
5.76,5.76,1,1,1,0,0,-0.47121002713602,8789.84912693311,
5.78,5.78,1,1,1,0,0,-0.471117937960929,8807.65124587551,
5.8,5.8,1,1,1,0,0,-0.471025878588161,8825.45336481792,
5.82,5.82,1,1,1,0,0,-0.470933789413071,8843.25607980676,
5.84,5.84,1,1,1,0,0,-0.47084170023798,8861.05819874916,
5.86,5.86,1,1,1,0,0,-0.47074961106289,8878.86031769157,
5.88,5.88,1,1,1,0,0,-0.470657551690122,8896.68985477008,
5.9,5.9,1,1,1,0,0,-0.470565462515031,8914.63860113606,
5.92,5.92,1,1,1,0,0,-0.470473373339941,8932.59450005928,
5.94,5.94,1,1,1,0,0,-0.470381284164851,8950.55039898251,
5.96,5.96,1,1,1,0,0,-0.470289224792082,8968.50629790573,
5.98,5.98,1,1,1,0,0,-0.470197135616992,8986.46160078252,
6,6,1,1,1,0,0,-0.470105046441902,9004.41749970574,
6.02,6.02,1,1,1,0,0,-0.470012987069134,9022.37339862896,
6.04,6.04,1,1,1,0,0,-0.469920897894043,9040.16538478193,
6.06,6.06,1,1,1,0,0,-0.469828808718953,9057.25999660328,
6.08,6.08,1,1,1,0,0,-0.469731593544473,9073.21377554366,
6.1,6.1,1,1,1,0,0,-0.469628179487009,9088.94403707006,
6.12,6.12,1,1,1,0,0,-0.469524586615613,9104.6748946429,
6.14,6.14,1,1,1,0,0,-0.469420993744216,9120.4051561693,
6.16,6.16,1,1,1,0,0,-0.469317430675142,9135.93455004633,
6.18,6.18,1,1,1,0,0,-0.469213837803746,9150.89889190082,
6.2,6.2,1,1,1,0,0,-0.46911024493235,9165.86204166243,
6.22,6.22,1,1,1,0,0,-0.469006652060954,9180.82519142404,
6.24,6.24,1,1,1,0,0,-0.468903059189558,9195.78834118566,
6.26,6.26,1,1,1,0,0,-0.468799466318162,9210.75149094727,
6.28,6.28,1,1,1,0,0,-0.468695873446766,9225.71464070888,
6.3,6.3,1,1,1,0,0,-0.46859228057537,9240.6777904705,
6.32,6.32,1,1,1,0,0,-0.468488687703974,9255.68385557559,
6.34,6.34,1,1,1,0,0,-0.468385094832578,9271.42126965924,
6.36,6.36,1,1,1,0,0,-0.468281501961181,9287.22842117605,
6.38,6.38,1,1,1,0,0,-0.468177909089785,9303.08981291865,
6.4,6.4,1,1,1,0,0,-0.468074316218389,9319.20392835066,
6.42,6.42,1,1,1,0,0,-0.467970723346993,9335.31804378268,
6.44,6.44,1,1,1,0,0,-0.467867130475597,9351.43215921469,
6.46,6.46,1,1,1,0,0,-0.467763537604201,9367.5462746467,
6.48,6.48,1,1,1,0,0,-0.467659944732805,9383.66039007871,
6.5,6.5,1,1,1,0,0,-0.467556351861409,9399.77450551072,
6.52,6.52,1,1,1,0,0,-0.467452788792335,9415.88862094273,
6.54,6.54,1,1,1,0,0,-0.467349195920939,9431.62782316569,
6.56,6.56,1,1,1,0,0,-0.467245603049543,9446.82641127003,
6.58,6.58,1,1,1,0,0,-0.467142010178146,9462.01963495644,
6.6,6.6,1,1,1,0,0,-0.46703841730675,9477.21345468928,
6.62,6.62,1,1,1,0,0,-0.466934824435354,9492.40667837569,
6.64,6.64,1,1,1,0,0,-0.466831231563958,9507.59990206209,
6.66,6.66,1,1,1,0,0,-0.466727638692562,9522.7931257485,
6.68,6.68,1,1,1,0,0,-0.466624045821166,9537.98694548134,
6.7,6.7,1,1,1,0,0,-0.46652045294977,9553.50263029032,
6.72,6.72,1,1,1,0,0,-0.466416860078374,9570.3165042397,
6.74,6.74,1,1,1,0,0,-0.466313267206978,9587.1977314365,
6.76,6.76,1,1,1,0,0,-0.466209674335582,9603.97286236746,
6.78,6.78,1,1,1,0,0,-0.466106081464186,9619.45457252951,
