"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
3.56,3.56,1,1,1,0,0,-0.492053085714381,5351.03013654092,
3.58,3.58,1,1,1,0,0,-0.49196099653929,5353.92453804037,
3.6,3.6,1,1,1,0,0,-0.4918689073642,5355.06060254984,
3.62,3.62,1,1,1,0,0,-0.49177681818911,5355.71744572373,
3.64,3.64,1,1,1,0,0,-0.491684758816342,5356.33137355413,
3.66,3.66,1,1,1,0,0,-0.491592669641251,5358.07242519744,
3.68,3.68,1,1,1,0,0,-0.491500580466161,5361.6397631246,
3.7,3.7,1,1,1,0,0,-0.491408521093393,5366.05646722488,
3.72,3.72,1,1,1,0,0,-0.491316431918302,5370.90232476001,
3.74,3.74,1,1,1,0,0,-0.491224342743212,5376.11296271476,
3.76,3.76,1,1,1,0,0,-0.491132253568122,5381.33075322676,
3.78,3.78,1,1,1,0,0,-0.491040194195354,5385.7355363983,
3.8,3.8,1,1,1,0,0,-0.490948105020263,5388.94763064883,
3.82,3.82,1,1,1,0,0,-0.490856015845173,5391.77408285443,
3.84,3.84,1,1,1,0,0,-0.490763926670083,5394.45986810084,
3.86,3.86,1,1,1,0,0,-0.490671867297314,5397.14505730081,
3.88,3.88,1,1,1,0,0,-0.490579778122224,5400.65755895574,
3.9,3.9,1,1,1,0,0,-0.490487688947134,5405.27513070539,
3.92,3.92,1,1,1,0,0,-0.490395629574365,5410.14721428376,
3.94,3.94,1,1,1,0,0,-0.490303540399275,5415.01393344419,
3.96,3.96,1,1,1,0,0,-0.490211451224185,5418.68796368362,
3.98,3.98,1,1,1,0,0,-0.490119362049094,5420.12145536529,
4,4,1,1,1,0,0,-0.490027302676326,5420.25973813874,
4.02,4.02,1,1,1,0,0,-0.489935213501236,5419.94860189848,
4.04,4.04,1,1,1,0,0,-0.489843124326146,5419.48845404889,
4.06,4.06,1,1,1,0,0,-0.489751035151055,5419.03545875656,
4.08,4.08,1,1,1,0,0,-0.489658975778287,5419.78826540685,
4.1,4.1,1,1,1,0,0,-0.489566886603197,5422.00853838574,
4.12,4.12,1,1,1,0,0,-0.489474797428106,5424.84452733434,
4.14,4.14,1,1,1,0,0,-0.489382738055338,5427.68349651513,
4.16,4.16,1,1,1,0,0,-0.489286267938909,5428.74743940569,
4.18,4.18,1,1,1,0,0,-0.48918425459058,5427.8843641645,
4.2,4.2,1,1,1,0,0,-0.489080661719184,5425.92158324652,
4.22,4.22,1,1,1,0,0,-0.488977068847788,5422.34649671568,
4.24,4.24,1,1,1,0,0,-0.488873475976392,5417.10307620688,
4.26,4.26,1,1,1,0,0,-0.488769883104996,5409.55355203222,
4.28,4.28,1,1,1,0,0,-0.4886662902336,5400.61464361225,
4.3,4.3,1,1,1,0,0,-0.488562697362204,5391.86527795934,
4.32,4.32,1,1,1,0,0,-0.488459104490808,5386.12952309334,
4.34,4.34,1,1,1,0,0,-0.488355511619412,5384.23051914415,
4.36,4.36,1,1,1,0,0,-0.488251918748015,5385.38506109317,
4.38,4.38,1,1,1,0,0,-0.488148325876619,5387.7322919632,
4.4,4.4,1,1,1,0,0,-0.488044733005223,5390.91756412406,
4.42,4.42,1,1,1,0,0,-0.487941169936149,5394.13204256034,
4.44,4.44,1,1,1,0,0,-0.487837577064753,5395.18704475433,
4.46,4.46,1,1,1,0,0,-0.487733984193357,5393.53241984443,
4.48,4.48,1,1,1,0,0,-0.487630391321961,5391.69123239965,
4.5,4.5,1,1,1,0,0,-0.487526798450565,5390.6976229887,
4.52,4.52,1,1,1,0,0,-0.487423205579169,5392.61272019169,
4.54,4.54,1,1,1,0,0,-0.487319612707773,5395.6948763189,
4.56,4.56,1,1,1,0,0,-0.487216019836377,5400.10263972262,
4.58,4.58,1,1,1,0,0,-0.487112426964981,5405.23400350121,
4.6,4.6,1,1,1,0,0,-0.487008834093584,5410.41364704122,
4.62,4.62,1,1,1,0,0,-0.486905241222188,5415.59329058123,
4.64,4.64,1,1,1,0,0,-0.486801648350792,5419.84846609701,
4.66,4.66,1,1,1,0,0,-0.486698055479396,5421.96443094938,
4.68,4.68,1,1,1,0,0,-0.486594462608,5422.94611943159,
4.7,4.7,1,1,1,0,0,-0.486490869736604,5424.12092695948,
4.72,4.72,1,1,1,0,0,-0.486387276865208,5427.80568603478,
4.74,4.74,1,1,1,0,0,-0.486283683993812,5433.19454187427,
4.76,4.76,1,1,1,0,0,-0.486180091122416,5438.79559024544,
4.78,4.78,1,1,1,0,0,-0.486076528053342,5443.69509195993,
4.8,4.8,1,1,1,0,0,-0.485972935181946,5445.99165888279,
4.82,4.82,1,1,1,0,0,-0.48586934231055,5447.62840239958,
4.84,4.84,1,1,1,0,0,-0.485765749439153,5449.23951591956,
4.86,4.86,1,1,1,0,0,-0.485662156567757,5450.97162686631,
4.88,4.88,1,1,1,0,0,-0.485558563696361,5454.38697295196,
4.9,4.9,1,1,1,0,0,-0.485454970824965,5458.14683387835,
4.92,4.92,1,1,1,0,0,-0.485351377953569,5461.27071325616,
4.94,4.94,1,1,1,0,0,-0.485247785082173,5461.57946531068,
4.96,4.96,1,1,1,0,0,-0.485144192210777,5458.96222540456,
4.98,4.98,1,1,1,0,0,-0.485040599339381,5454.58068804407,
5,5,1,1,1,0,0,-0.484937006467985,5450.01497233447,
5.02,5.02,1,1,1,0,0,-0.484833413596589,5446.17464513904,
5.04,5.04,1,1,1,0,0,-0.484729820725192,5445.11368248067,
5.06,5.06,1,1,1,0,0,-0.484626227853796,5445.03500435095,
5.08,5.08,1,1,1,0,0,-0.4845226349824,5445.50230475778,
5.1,5.1,1,1,1,0,0,-0.484419042111004,5446.41485185326,
5.12,5.12,1,1,1,0,0,-0.48431547904193,5447.40130870697,
5.14,5.14,1,1,1,0,0,-0.484211886170534,5447.90973631798,
5.16,5.16,1,1,1,0,0,-0.484108293299138,5445.8015200693,
5.18,5.18,1,1,1,0,0,-0.484005087857928,5443.04063297179,
